time,old_path,new_path
2026-01-14T09:45:53.155218,D:\BaiduSyncdisk\2025\研究\合约设计\2025-07-14郑商所气温指数分布与波动特点.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250716标的气温指数分布与波动特点.docx
2026-01-14T09:45:53.156662,D:\BaiduSyncdisk\2025\研究\合约设计\分解.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解.xlsx
2026-01-14T09:45:53.157929,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新.xlsx
2026-01-14T09:45:53.159464,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新含曲线.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新含曲线.xlsx
2026-01-14T09:45:53.160899,D:\BaiduSyncdisk\2025\研究\合约设计\年化波动率相关.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250715年化波动率相关.xlsx
2026-01-14T09:45:53.162136,D:\BaiduSyncdisk\2025\研究\合约设计\数据丁毅.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250710数据丁毅.xlsx
2026-01-14T09:45:53.170759,D:\BaiduSyncdisk\2025\研究\合约设计\标的选择.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250720标的选择.docx
2026-01-14T09:45:53.171994,D:\BaiduSyncdisk\2025\研究\合约设计\气温指数合约设计更新数据1107(史一诺).xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250214气温指数合约设计更新数据1107(史一诺).xlsx
2026-01-14T09:45:53.182531,D:\BaiduSyncdisk\2025\研究\合约设计\表1 珠三角月制冷指数期货合约.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710表1珠三角月制冷指数期货合约（草案）.docx
2026-01-14T09:45:53.183781,D:\BaiduSyncdisk\2025\研究\合约设计\附件报告数据.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250714附件报告数据.xlsx
2026-01-14T09:45:53.301726,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明 - 丁毅部分.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:45:53.433666,D:\BaiduSyncdisk\2025\研究\合约设计\（1稿）2025-07郑商所气温指数期货合约规则（草案）及相关说明dy.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710气温指数期货合约规则（草案）及设计说明(1).docx
2026-01-14T09:45:53.517804,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-17郑商所气温指数期货合约规则（草案）及相关说明.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250718气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:45:53.628293,D:\BaiduSyncdisk\2025\研究\合约设计\（2稿）2025-07-18郑商所气温指数期货合约规则（草案）及相关说明_1.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250719气温指数期货合约规则（草案）及设计说明.docx
2026-01-14T09:47:14.430683,D:\BaiduSyncdisk\2025\研究\合约设计\2025-07-14郑商所气温指数分布与波动特点.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250716标的气温指数分布与波动特点.docx
2026-01-14T09:47:14.432016,D:\BaiduSyncdisk\2025\研究\合约设计\分解.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解.xlsx
2026-01-14T09:47:14.433143,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新.xlsx
2026-01-14T09:47:14.434273,D:\BaiduSyncdisk\2025\研究\合约设计\分解更新含曲线.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250720分解更新含曲线.xlsx
2026-01-14T09:47:14.435371,D:\BaiduSyncdisk\2025\研究\合约设计\年化波动率相关.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250715年化波动率相关.xlsx
2026-01-14T09:47:14.439283,D:\BaiduSyncdisk\2025\研究\合约设计\数据丁毅.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250710数据丁毅.xlsx
2026-01-14T09:47:14.446796,D:\BaiduSyncdisk\2025\研究\合约设计\标的选择.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250720标的选择.docx
2026-01-14T09:47:14.447940,D:\BaiduSyncdisk\2025\研究\合约设计\气温指数合约设计更新数据1107(史一诺).xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250214气温指数合约设计更新数据1107(史一诺).xlsx
2026-01-14T09:47:14.457828,D:\BaiduSyncdisk\2025\研究\合约设计\表1 珠三角月制冷指数期货合约.docx,D:\BaiduSyncdisk\2025\研究\合约设计\其他\20250710表1珠三角月制冷指数期货合约（草案）.docx
2026-01-14T09:47:14.458968,D:\BaiduSyncdisk\2025\研究\合约设计\附件报告数据.xlsx,D:\BaiduSyncdisk\2025\研究\合约设计\Excel文件\20250714附件报告数据.xlsx
